,ADSB_VEHICLE.lat,ADSB_VEHICLE.lon
476,42.2017,-83.336215
477,42.2017,-83.336215
478,42.2017,-83.336215
479,42.2017,-83.336215
480,42.2017,-83.336215
481,42.2017,-83.336215
482,42.2017,-83.336215
483,42.2017,-83.336215
484,42.2017,-83.336215
485,42.2017,-83.336215
486,42.2017,-83.336215
487,42.2017,-83.336215
488,42.2017,-83.336215
489,42.2017,-83.336215
490,42.2017,-83.336215
491,42.2017,-83.336215
492,42.2017,-83.336215
493,42.2017,-83.336215
494,42.2017,-83.336215
495,42.2017,-83.336215
496,42.2017,-83.336215
497,42.2017,-83.336215
498,42.2017,-83.336215
499,42.2017,-83.336215
500,42.2017,-83.336215
501,42.2017,-83.336215
502,42.2017,-83.336215
503,42.2017,-83.336215
504,42.2017,-83.336215
505,42.2017,-83.336215
506,42.2017,-83.336215
507,42.2017,-83.336215
508,42.2017,-83.336215
509,42.2017,-83.336215
510,42.2017,-83.336215
511,42.2017,-83.336215
512,42.2017,-83.336215
513,42.2017,-83.336215
514,42.2017,-83.336215
515,42.2017,-83.336215
516,42.2017,-83.336215
517,42.2017,-83.336215
518,42.2017,-83.336215
519,42.2017,-83.336215
520,42.2017,-83.336215
521,42.2017,-83.336215
522,42.2017,-83.336215
523,42.2017,-83.336215
524,42.2017,-83.336215
525,42.2017,-83.336215
526,42.2017,-83.336215
527,42.2017,-83.336215
528,42.2017,-83.336215
529,42.2017,-83.336215
530,42.2017,-83.336215
531,42.2017,-83.336215
532,42.2017,-83.336215
533,42.2017,-83.336215
534,42.2017,-83.336215
535,42.2017,-83.336215
536,42.2017,-83.336215
537,42.2017,-83.336215
538,42.2017,-83.336215
539,42.2017,-83.336215
540,42.2017,-83.336215
541,42.2017,-83.336215
542,42.2017,-83.336215
543,42.2017,-83.336215
544,42.2017,-83.336215
545,42.2017,-83.336215
546,42.2017,-83.336215
547,42.2017,-83.336215
548,42.2017,-83.336215
549,42.2017,-83.336215
550,42.2017,-83.336215
551,42.2017,-83.336215
552,42.2017,-83.336215
553,42.2017,-83.336215
554,42.2017,-83.336215
555,42.2017,-83.336215
556,42.2017,-83.336215
557,42.2017,-83.336215
558,42.2017,-83.336215
559,42.2017,-83.336215
560,42.2017,-83.336215
561,42.2017,-83.336215
562,42.2017,-83.336215
563,42.2017,-83.336215
564,42.2017,-83.336215
565,42.2017,-83.336215
566,42.2017,-83.336215
567,42.2017,-83.336215
